ingredient,pairing,level,page
ACHIOTE SEEDS,beef,normal,42
ACHIOTE SEEDS,chicken,normal,42
ACHIOTE SEEDS,chiles,normal,42
ACHIOTE SEEDS,"citrus (e.g., sour orange)",normal,42
ACHIOTE SEEDS,fish,normal,42
ACHIOTE SEEDS,"game birds (e.g., duck, quail)",normal,42
ACHIOTE SEEDS,garlic,normal,42
ACHIOTE SEEDS,"Mexican cuisine, esp. Yucatán oil",recommended,42
ACHIOTE SEEDS,pork,recommended,42
ACHIOTE SEEDS,"shellfish, e.g., lobster, shrimp",normal,42
ACHIOTE SEEDS,shrimp,normal,42
AFGHAN CUISINE,almonds,normal,42
AFGHAN CUISINE,barley,normal,42
AFGHAN CUISINE,breads,recommended,42
AFGHAN CUISINE,cardamom,normal,42
AFGHAN CUISINE,chile pepper,normal,43
AFGHAN CUISINE,cinnamon,normal,43
AFGHAN CUISINE,cloves,normal,43
AFGHAN CUISINE,coriander,normal,43
AFGHAN CUISINE,cucumber,normal,43
AFGHAN CUISINE,cumin,normal,43
AFGHAN CUISINE,dill,normal,43
AFGHAN CUISINE,fennel,normal,43
AFGHAN CUISINE,"fruits, esp. dried",normal,43
AFGHAN CUISINE,ginger,normal,43
AFGHAN CUISINE,grapes,normal,43
AFGHAN CUISINE,kebabs,normal,43
AFGHAN CUISINE,lamb,normal,43
AFGHAN CUISINE,mint,normal,43
AFGHAN CUISINE,mushrooms,normal,43
AFGHAN CUISINE,"nuts, e.g., almonds",normal,43
AFGHAN CUISINE,pasta,recommended,43
AFGHAN CUISINE,"rice, basmati",recommended,43
AFGHAN CUISINE,sesame,normal,43
AFGHAN CUISINE,tomatoes and tomato sauce,normal,43
AFGHAN CUISINE,turmeric,normal,43
AFGHAN CUISINE,yogurt,recommended,43
AFRICAN CUISINE (NORTH),bell peppers,normal,44
AFRICAN CUISINE (NORTH),braised dishes,normal,44
AFRICAN CUISINE (NORTH),chicken,normal,44
AFRICAN CUISINE (NORTH),chickpeas,normal,44
AFRICAN CUISINE (NORTH),couscous,normal,44
AFRICAN CUISINE (NORTH),cucumbers,normal,44
AFRICAN CUISINE (NORTH),cumin,normal,44
AFRICAN CUISINE (NORTH),eggplant,normal,44
AFRICAN CUISINE (NORTH),fish,normal,44
AFRICAN CUISINE (NORTH),garlic,normal,44
AFRICAN CUISINE (NORTH),lamb,normal,44
AFRICAN CUISINE (NORTH),mint,normal,44
AFRICAN CUISINE (NORTH),parsley,normal,44
AFRICAN CUISINE (NORTH),rice,normal,44
AFRICAN CUISINE (NORTH),stewed dishes,normal,44
AFRICAN CUISINE (NORTH),tomatoes,normal,44
